,COMBOKEY,SCH_NAME,GSHI,GSLO,JJ,LAT1516,LEAID,LEA_NAME,LEA_STATE,LEA_STATE_NAME,LEVEL,LOCALE15,LON1516,NMCNTY15,SCHID,SCH_APENR_AM_F,SCH_APENR_AM_M,SCH_APENR_AS_F,SCH_APENR_AS_M,SCH_APENR_BL_F,SCH_APENR_BL_M,SCH_APENR_HI_F,SCH_APENR_HI_M,SCH_APENR_HP_F,SCH_APENR_HP_M,SCH_APENR_IDEA_F,SCH_APENR_IDEA_M,SCH_APENR_IND,SCH_APENR_LEP_F,SCH_APENR_LEP_M,SCH_APENR_TR_F,SCH_APENR_TR_M,SCH_APENR_WH_F,SCH_APENR_WH_M,SCH_DUALENR_AM_F,SCH_DUALENR_AM_M,SCH_DUALENR_AS_F,SCH_DUALENR_AS_M,SCH_DUALENR_BL_F,SCH_DUALENR_BL_M,SCH_DUALENR_HI_F,SCH_DUALENR_HI_M,SCH_DUALENR_HP_F,SCH_DUALENR_HP_M,SCH_DUALENR_IDEA_F,SCH_DUALENR_IDEA_M,SCH_DUALENR_LEP_F,SCH_DUALENR_LEP_M,SCH_DUALENR_TR_F,SCH_DUALENR_TR_M,SCH_DUALENR_WH_F,SCH_DUALENR_WH_M,SCH_DUAL_IND,SCH_ENR_AM_F,SCH_ENR_AM_M,SCH_ENR_AS_F,SCH_ENR_AS_M,SCH_ENR_BL_F,SCH_ENR_BL_M,SCH_ENR_HI_F,SCH_ENR_HI_M,SCH_ENR_HP_F,SCH_ENR_HP_M,SCH_ENR_IDEA_F,SCH_ENR_IDEA_M,SCH_ENR_LEP_F,SCH_ENR_LEP_M,SCH_ENR_TR_F,SCH_ENR_TR_M,SCH_ENR_WH_F,SCH_ENR_WH_M,SCH_GRADE_G01,SCH_GRADE_G02,SCH_GRADE_G03,SCH_GRADE_G04,SCH_GRADE_G05,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_GRADE_KG,SCH_GRADE_PS,SCH_GRADE_UG,SCH_IBENR_AM_F,SCH_IBENR_AM_M,SCH_IBENR_AS_F,SCH_IBENR_AS_M,SCH_IBENR_BL_F,SCH_IBENR_BL_M,SCH_IBENR_HI_F,SCH_IBENR_HI_M,SCH_IBENR_HP_F,SCH_IBENR_HP_M,SCH_IBENR_IDEA_F,SCH_IBENR_IDEA_M,SCH_IBENR_IND,SCH_IBENR_LEP_F,SCH_IBENR_LEP_M,SCH_IBENR_TR_F,SCH_IBENR_TR_M,SCH_IBENR_WH_F,SCH_IBENR_WH_M,SCH_STATUS_ALT,SCH_STATUS_CHARTER,SCH_STATUS_MAGNET,SCH_STATUS_SPED,SCH_TYPE,SCH_TYPE_TEXT,SCH_UGDETAIL_HS,STABR,Students_in_11_12,TITLEI,TOT_APENR_F,TOT_APENR_M,TOT_DUALENR_F,TOT_DUALENR_M,TOT_ENR_F,TOT_ENR_M,TOT_IBENR_F,TOT_IBENR_M,VIRTUAL
18044,='06CC36500001',accelerated achievement academy,12,4,No,39.164923,06CC365,Accelerated Achievement Academy (Ukiah),CA,CALIFORNIA,4,33,-123.209753,Mendocino County,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Yes,2,2,2,0,0,0,44,32,0,0,7,10,20,11,5,5,35,35,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,No,Yes,No,No,1.0,Regular School,-9,CA,Yes,Yes,-9,-9,2,0,88,74,-9,-9,No
18199,='06CC32000001',community collaborative charter,12,KG,No,38.67124,06CC320,COMMUNITY COLLABORATIVE CHARTER (Twin Rivers),CA,CALIFORNIA,4,21,-121.385681,Sacramento County,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,2,2,11,2,35,29,98,92,2,2,52,55,38,50,23,20,86,80,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,No,Yes,No,No,1.0,Regular School,-9,CA,Yes,Yes,-9,-9,-9,-9,257,227,-9,-9,No
18200,='06CC43800001',community collaborative charter,12,KG,No,38.67124,06CC438,Community Collaborative Charter (Acton),CA,CALIFORNIA,4,21,-121.385681,Sacramento County,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,2,0,20,20,23,38,227,194,0,0,28,61,8,8,104,110,335,335,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,No,Yes,No,No,1.0,Regular School,-9,CA,Yes,Yes,-9,-9,-9,-9,711,697,-9,-9,No
18484,='262649006293',onekama consolidated schools,12,PK,No,44.3647,2626490,Onekama Consolidated Schools,MI,MICHIGAN,4,42,-86.20181099999998,Manistee County,6293,0,0,2,0,0,0,0,0,0,0,0,0,Yes,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,0,2,0,0,0,2,0,23,14,Yes,11,5,2,0,0,0,17,8,0,0,22,49,5,2,8,14,188,206,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,No,No,No,No,1.0,Regular School,-9,MI,Yes,Yes,2,0,32,16,226,233,-9,-9,No
18603,='069902400001',university high,12,9,No,36.80971,699024,University High School,CA,CALIFORNIA,3,11,-119.74805,Fresno County,1,2,2,47,29,8,5,26,23,0,0,0,2,Yes,0,0,0,0,50,44,2,5,68,50,8,5,50,38,0,0,0,2,0,0,0,0,68,65,Yes,5,5,98,77,11,5,68,53,0,0,-2,-2,0,0,0,0,89,77,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,No,Yes,No,No,1.0,Regular School,-9,CA,Yes,Missing,133,103,196,163,271,217,-9,-9,No
18662,='362058099874',urban assembly school for emergency management,11,8,No,40.71125,3620580,NEW YORK CITY PUBLIC SCHOOLS,NY,NEW YORK,4,11,-74.001651,New York County,99874,0,0,2,0,5,2,11,8,0,0,0,0,Yes,2,0,0,0,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,2,0,5,11,44,32,86,65,0,0,22,34,14,8,0,2,5,5,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,No,No,No,No,1.0,Regular School,-9,NY,Yes,Yes,20,12,-9,-9,142,115,-9,-9,No
18663,='362058099933',urban assembly school for global commerce,11,9,No,40.80701,3620580,NEW YORK CITY PUBLIC SCHOOLS,NY,NEW YORK,4,11,-73.938721,New York County,99933,0,0,0,2,5,0,5,5,0,0,0,0,Yes,0,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,2,0,0,2,44,56,50,47,2,0,22,34,11,8,2,2,2,2,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,No,No,No,No,1.0,Regular School,-9,NY,Yes,Yes,10,7,-9,-9,102,109,-9,-9,No
18664,='362058099968',forsyth satellite academy,12,9,No,40.722406,3620580,NEW YORK CITY PUBLIC SCHOOLS,NY,NEW YORK,3,11,-73.99060899999998,New York County,99968,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,0,0,2,2,47,32,74,53,0,0,25,19,11,5,0,2,2,0,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,No,No,No,No,1.0,Regular School,-9,NY,Yes,Yes,-9,-9,-9,-9,125,89,-9,-9,No
18665,='362058099992',brooklyn school for math and research,12,9,No,40.696845,3620580,NEW YORK CITY PUBLIC SCHOOLS,NY,NEW YORK,3,11,-73.91109399999998,Kings County,99992,2,2,0,2,20,20,11,11,0,2,2,0,Yes,2,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,2,2,2,5,53,86,38,68,0,2,13,25,8,20,2,0,5,8,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,No,No,No,No,1.0,Regular School,Yes,NY,Yes,Yes,33,37,-9,-9,102,171,-9,-9,No
18666,='362058099995',pathways technology early college high school,12,9,No,40.67593400000001,3620580,NEW YORK CITY PUBLIC SCHOOLS,NY,NEW YORK,3,11,-73.939254,Kings County,99995,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,0,0,2,5,53,128,8,11,0,0,2,11,0,2,0,2,0,0,Yes,0,2,2,8,119,329,14,35,2,2,19,61,0,5,0,2,0,2,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,No,No,No,No,1.0,Regular School,-9,NY,Yes,Yes,-9,-9,63,146,137,380,-9,-9,No
